kata,sinonim
ngagetkeun,ngarerewas
kakatua,ekek
jeger,heuras
kalajengking,"langgir,babakaur,kalabang"
kalangan,kaom
kalap,ngamuk
kalimah,kecap
kusut,kacow
kanceuh,jadi deui
kerem,titeuleum
kasbon,nganjuk
batur,"sobar,mitra"
kakaian,kakayon
kacambah,toge
kuciwa,"rasa kuciwa,reutas,kaduhung"
langgeng,"abadi,tetep,angger"
pasea,"gelut,pasalia,cekcok,pasea,parearea omong"
kelap-kelip,pating kelip
kalilipan,kapeureumpeunan
kumpulan,paguyuban
ngurus,"miara,ngingon"
ngemut,ngenyot
kahampangan,pipis
hajat,"salametan,sukuran"
gebeng,"gebing,ipis"
kempit,"capit,dempet"
peledug,kelun
meledug,ngelun
kerah,samleh
karanda,pasaran
boncel,kate
karinget,kesang
kesel,jengkel
seuseut,keusrak
ketua,"kokolot,pinisepuh"
has,"husus,istimewa"
kijang,uncal
ngalediskeun,"ngaleungitkeun,ngamusnakeun"
ngipas-ngipas,gegeber
ngipasan,ngageberan
kira,kinten
komentar,"tanggepan,tapsiran"
kongkret,"nyata,bukti"
kota,dayeuh
benteng,rengrengan
kubur,pemdem
bangbara,nyiruan
kucel,"surem,pias,reyem-reyem"
bati,"untung,munjur"
ngalacur,ngajual diri
ublag,ungkluk
huma,"kebon,sawah"
paripolah,"tingkah,kalakuan,sikep"
deui,deuih
medalkeun,"ngababarkeun,nerbitkeun"
ngabujang,lalajangan
ngalaksanakeun,"ngalakukeun,milampah,migawe,ngajalankeun,migawe"
geus dipigawe,"geus dilaksanakeun,geus lumangsung"
taledor,"lalawora,gagabah"
ngalamar,"nanyaan,narosan"
ngagupayan,ngadadahan
laun,"lengle,alon,anca"
lambang,"tanda,simbul"
lencop,neros
langsing,"lenjang,jangjing,lengkeh"
ngalantik,ngistrenan
ngalantur,ngaco
nu dicarek,nu dicaram
ngabodor,"ngabanyol,ngalucu"
ngalayanan,"ngaladenan,ngomean"
kaleuwihan,kalangkungan
ngaleuwihan,ngalangkungan
ajur,leyur
ngaleyurkeun,"ngancurkeun,ngaremukkeun"
ngabeledug,ngajegur
legal,"sah,resmi"
cape,"lungse,ripuh,parna,lesu,wales"
matak cape,nyapekeun
ngalungkeun,ngabalangkeun
lengket,rapet
jerit,koceak
lisung,"halu,nutu"
nenjoan,"ningalian,nenjoan"
katenjo,"katingal,katempo"
liontin,gagantel
ngalipet,nilep
tempatan,lokal
lokasi,tempat
lokomotip,hulu sepur
lonceng,kereneng
mudal,leber
liang,lobang
ngaliangan,ngalobangan
lembut,ancur pisan
beye,hipu
ngabeyean,ngahipuan
ngabeyekeun,ngahipukeun
ngahilapkeun,mopohokeun
lurah,kapala desa
macet,magol
madat,candu
nyandung,"ngawayuh,poligamipoliandri"
sembrani,"persani,parasani"
ngaulinkeun,ngahereykeun
sapaulinan,batur ulin
kuburan,astana
dikuburkeun,"dikurebekun,dimakamkeun"
sasarap,mumuluk
taruang,bancakan
makbul,dikabul
ngabulkeun,nedunan
makelar,"calo,perantara"
ngaharti,ngandung makna
maksud,maksad
sapeuting,sawengi
cilaka,"sial,marabahaya,kacilakaan"
rarangan,"larangan,memek,kontol,momok,kanjut"
gayem,capek
ngagayem,nyapek
mancung,bangir
junub,adus
ngibakan,ngamandian
mangkir,teu datang
pejuh,cipejuh
tipu,jieunan
manteb,mantep
minantuan,boga minantu
nandaan,mere tanda
samangsa,sawaktu
olah,masak
masih,masing
panon,soca
ngintip,ngadodoho
